작업일,유튜브 주소,채널명,타이틀,비고
20230927,https://www.youtube.com/watch?v=BgnbcKwl9L4,조승연의 탐구생활,🔴🔵보수/진보 뇌구조가 다르다고? 뇌과학자가 본 갈등의 이유  @CuriousBrainLab  ​,다운로드 완료
20230920,https://www.youtube.com/watch?v=Y5ggMYHRxPo,조승연의 탐구생활,[ENG] 고든 램지가 말하는 영국 음식의 진실?,다운로드 완료
20230920,https://www.youtube.com/watch?v=XxCoUpPMHQc&t=3s,조승연의 탐구생활,🥰 인간은 언제 가장 행복할까? 뇌과학자가 말하는 [행복의 3가지 조건] @CuriousBrainLab,다운로드 완료
20230921,https://www.youtube.com/watch?v=aIy7N7pG35c,조승연의 탐구생활,🧠 도파민 중독? 디톡스? 뇌과학자가 소개하는 뇌 해킹 방법 공개!,다운로드 완료
20230921,https://www.youtube.com/watch?v=QR3q12XmsNk,조승연의 탐구생활,👑[ 2023년 포브스 세계 부자 순위]로 보는 트렌드의 변화 | MMM @MickeyPedia,다운로드 완료
20230921,https://www.youtube.com/watch?v=20RHBoc0hYk,조승연의 탐구생활,🇺🇸🇮🇹🇰🇷🇫🇷 개인주의? 남자다움? 문화지수로 보는 나라별 차이점 5가지 @MickeyPedia,다운로드 완료
20230921,https://www.youtube.com/watch?v=wvQm3qf3CEo,조승연의 탐구생활,"🇫🇷🇺🇸🇰🇷 각 나라별 교육 방식 차이와 육아법 (SAT, 수능, 바칼로리아) | MMM @MickeyPedia",다운로드 완료
20230921,https://www.youtube.com/watch?v=5cYCT1c69tU,지무비 : G Movie,배 나온 평범한 40대 아저씨인 줄 알고 삥 뜯으려 했는데 20년 전 택견 랭킹 1위였다고 한다 글 내려주세요,다운로드 완료
20230926,https://www.youtube.com/watch?v=kRCyI3ppIqg&t=34s,뜬뜬 DdeunDdeun,[ENG] 대화합은 핑계고,다운로드 완료
20230926,https://www.youtube.com/watch?v=chcNLCpBhqI&list=PLE7NSUpyv6SWUghI2uuPHc_lrE4mvPK5y&index=11,뜬뜬 DdeunDdeun,[ENG] 커피 두세 잔은 핑계고,다운로드 완료
20230926,https://www.youtube.com/watch?v=40myWE-7Yao,곽튜브,너무나도 저렴한 쿠바 산골마을 여행 - 쿠바(3),다운로드 완료
20230926,https://www.youtube.com/watch?v=OQ5A-aC_orY&t=19s,곽튜브,경제위기 쿠바에서 하드코어 흥정배틀 - 쿠바(2),다운로드 완료
20230926,https://www.youtube.com/watch?v=OQ5A-aC_orY&list=RDCMUClRNDVO8093rmRTtLe4GEPw&start_radio=1&rv=OQ5A-aC_orY&t=43,곽튜브,경제위기 쿠바에서 하드코어 흥정배틀 - 쿠바(2),다운로드 완료
20230926,https://www.youtube.com/watch?v=40myWE-7Yao&list=RDCMUClRNDVO8093rmRTtLe4GEPw&index=2,곽튜브,너무나도 저렴한 쿠바 산골마을 여행 - 쿠바(3),다운로드 완료
20230926,https://www.youtube.com/watch?v=3RwTNe0gHYI&list=RDCMUClRNDVO8093rmRTtLe4GEPw&index=3,곽튜브,공산국가 쿠바에서 다시 만난 3인조 - 쿠바(1),다운로드 완료
20230926,https://www.youtube.com/watch?v=8BcpSw3CSOs&list=RDCMUClRNDVO8093rmRTtLe4GEPw&index=4,곽튜브,모든 음식이 무제한으로 나오는 멕시코 호텔 - 북중미(7),다운로드 완료
